Date,Average Sentiment,Open,High,Low,Volume
2024-01-22,0.1274509379509379,192.3000030517578,195.3300018310547,192.259994506836,60133900
2024-01-23,0.0944639943389943,195.0200042724609,195.75,193.8300018310547,42355600
2024-01-24,0.0952225829725829,195.4199981689453,196.3800048828125,194.33999633789065,53631300
2024-01-25,0.1216064273689274,195.22000122070312,196.2700042724609,193.1100006103516,54822100
2024-01-26,0.0382451839826839,194.2700042724609,194.759994506836,191.94000244140625,44594000
2024-01-29,0.066995670995671,192.009994506836,192.1999969482422,189.5800018310547,47145600
2024-01-30,0.0989407647907648,190.94000244140625,191.8000030517578,187.47000122070312,55859400
2024-01-31,0.0125255577755577,187.0399932861328,187.1000061035156,184.3500061035156,55467800
2024-02-01,0.0353760822510822,183.9900054931641,186.9499969482422,183.82000732421875,64885400
2024-02-02,0.0772623376623376,179.86000061035156,187.3300018310547,179.25,102518000
2024-02-05,0.0869547965922965,188.1499938964844,189.25,185.83999633789065,69668800
2024-02-06,0.0824083694083694,186.8600006103516,189.3099975585937,186.7700042724609,43490800
2024-02-07,0.0366630591630591,190.63999938964844,191.0500030517578,188.6100006103516,53439000
2024-02-08,0.0756493659118659,189.38999938964844,189.5399932861328,187.3500061035156,40962000
2024-02-09,0.0896329004329004,188.6499938964844,189.9900054931641,188.0,45155200
2024-02-12,0.0968428932178932,188.4199981689453,188.6699981689453,186.7899932861328,41781900
2024-02-13,0.0967166215728716,185.7700042724609,186.2100067138672,183.509994506836,56529500
2024-02-14,0.1268665103415103,185.32000732421875,185.52999877929688,182.44000244140625,54630500
2024-02-15,0.0699337531155712,183.5500030517578,184.4900054931641,181.3500061035156,65434500
2024-02-16,0.1742056277056277,183.4199981689453,184.8500061035156,181.6699981689453,49701400
